CODE,SOT,year,Site,Zone,Tree #,Aspect,Height,CODE,Stem length,Tray mass (g),SOT+0 (m/g),SOT+1 (m/g),SOT+2 (m/g),SOT+3 (m/g),SOT+4 (m/g),SOT+5 (m/g),Dry weight,Fresh wgt,Dry wgt,H2O content,Total needles,MEAN (cm),SA/leaf (cm2),SA total (cm2),SA total (m2),1,2,3,4,5,gmin
T11 W5 WA,2014-03-08,2014,T11,W,5,W,A,T11 W5 WA,NA,1.821,2.394,2.311,2.281,2.251,2.229,2.208,2.0285,0.573,0.2075,176.1445783,80,0.855,2.8728513,229.828104,0.02298281,2.00332E-06,7.24091E-07,7.24091E-07,5.31E-07,5.06864E-07,9.17182E-07
T11 W5 WC,2014-03-08,2014,T11,W,5,W,C,T11 W5 WC,NA,1.909,2.16,2.099,2.07,2.047,2.03,2.014,1.976,0.251,0.067,274.6268657,45,0.91,3.0576546,137.594457,0.013759446,2.45926E-06,1.16916E-06,9.27261E-07,6.85367E-07,6.45051E-07,1.49168E-06
T11 W5 WS,2014-03-08,2014,T11,W,5,W,S,T11 W5 WS,NA,1.9266,2.704,2.672,2.65,2.636,2.627,2.619,2.291,0.7774,0.3644,113.3369923,68,0.995,3.3432597,227.3416596,0.022734166,7.80811E-07,5.36808E-07,3.41605E-07,2.19603E-07,1.95203E-07,7.24691E-07
T12 L1 LA,2014-03-08,2014,T12,L,1,L,A,T12 L1 LA,NA,1.8369,2.202,2.168,2.146,2.127,2.114,2.1,1.9984,0.3651,0.1615,126.0681115,39,0.88,2.9568528,115.3172592,0.011531726,1.63553E-06,1.05829E-06,9.13975E-07,6.25352E-07,6.73456E-07,1.32286E-06
T12 L1 LS,2014-03-08,2014,T12,L,1,L,S,T12 L1 LS,NA,1.9821,3.1419,3.0267,3.0033,2.9827,2.9673,2.951,2.4969,1.1598,0.5148,125.2913753,82,0.985,3.3096591,271.3920462,0.027139205,2.35467E-06,4.78293E-07,4.21061E-07,3.14774E-07,3.3317E-07,5.76404E-07
T12 L1 WA,2014-03-08,2014,T12,L,1,W,A,T12 L1 WA,NA,1.8755,2.635,2.513,2.482,2.453,2.433,2.409,2.1707,0.7595,0.2952,157.2831978,60,0.89,2.9904534,179.427204,0.01794272,3.77178E-06,9.58404E-07,8.96571E-07,6.18325E-07,7.4199E-07,1.12844E-06
T12 L1 WC,2014-03-08,2014,T12,L,1,W,C,T12 L1 WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 L1 WS,2014-03-08,2014,T12,L,1,W,S,T12 L1 WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 L2 LA,2014-03-08,2014,T12,L,2,L,A,T12 L2 LA,NA,1.903,3.2332,3.0871,3.0231,2.9645,2.9213,2.8733,2.4675,1.3302,0.5645,135.6421612,61,1.19,3.9984714,243.9067554,0.024390676,3.32278E-06,1.45556E-06,1.33275E-06,9.82506E-07,1.09167E-06,1.72029E-06
T12 L2 LC,2014-03-08,2014,T12,L,2,L,C,T12 L2 LC,NA,1.8114,2.572,2.518,2.5,2.483,2.472,2.458,2.1275,0.7606,0.3161,140.6200569,57,1.12,3.7632672,214.5062304,0.021450623,1.39646E-06,4.65487E-07,4.39627E-07,2.84464E-07,3.62046E-07,5.50827E-07
T12 L2 LS,2014-03-08,2014,T12,L,2,L,S,T12 L2 LS,NA,1.863,3.104,2.974,2.93,2.894,2.868,2.838,2.4112,1.241,0.5482,126.3772346,92,0.91,3.0576546,281.3042232,0.028130422,2.56355E-06,8.67664E-07,7.09907E-07,5.12711E-07,5.91589E-07,1.02937E-06
T12 L2 LS,2014-03-08,2014,T12,L,2,L,S,T12 L2 LS,NA,1.7842,2.2034,2.168,2.1478,2.1277,2.1122,2.0951,1.9709,0.4192,0.1867,124.5313337,42,1.215,4.0824729,171.4638618,0.017146386,1.14526E-06,6.53513E-07,6.50277E-07,5.01458E-07,5.53221E-07,7.4701E-07
T12 L2 WA,2014-03-08,2014,T12,L,2,W,A,T12 L2 WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 L2 WC,2014-03-08,2014,T12,L,2,W,C,T12 L2 WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 L2 WS,2014-03-08,2014,T12,L,2,W,S,T12 L2 WS,NA,1.8849,3.124,3.025,2.999,2.977,2.959,2.939,2.4133,1.2391,0.5284,134.5003785,84,1.215,4.0824729,342.9277236,0.034292772,1.60143E-06,4.20577E-07,3.55873E-07,2.91169E-07,3.23521E-07,4.72341E-07
T12 W1 LA,2014-03-08,2014,T12,W,1,L,A,T12 W1 LA,NA,1.873,2.386,2.305,2.273,2.243,2.222,2.2,2.0853,0.513,0.2123,141.6391898,61,0.86,2.8896516,176.2687476,0.017626875,2.54909E-06,1.00705E-06,9.44107E-07,6.60875E-07,6.92345E-07,1.25566E-06
T12 W1 LC,2014-03-08,2014,T12,W,1,L,C,T12 W1 LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 W1 LS,2014-03-08,2014,T12,W,1,L,S,T12 W1 LS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 W1 WA,2014-03-08,2014,T12,W,1,W,A,T12 W1 WA,NA,1.8953,2.209,2.171,2.152,2.134,2.12,2.106,2.1033,0.3137,0.208,50.81730769,34,0.925,3.1080555,105.673887,0.010567389,1.99476E-06,9.97381E-07,9.44887E-07,7.34912E-07,7.34912E-07,1.20211E-06
T12 W1 WC,2014-03-08,2014,T12,W,1,W,C,T12 W1 WC,NA,1.8724,2.938,2.717,2.652,2.598,2.557,2.515,2.2892,1.0656,0.4168,155.6621881,133,0.74,2.4864444,330.6971052,0.033069711,3.70712E-06,1.09033E-06,9.05813E-07,6.87747E-07,7.04521E-07,1.32853E-06
T12 W1 WS,2014-03-08,2014,T12,W,1,W,S,T12 W1 WS,NA,1.8634,3.019,2.931,2.904,2.881,2.863,2.845,2.3775,1.1556,0.5141,124.781171,94,1.035,3.4776621,326.9002374,0.032690024,1.49328E-06,4.58167E-07,3.9029E-07,3.05445E-07,3.05445E-07,5.54891E-07
T12 W2 LA,2014-03-08,2014,T12,W,2,L,A,T12 W2 LA,NA,1.7684,2.489,2.41,2.365,2.326,2.298,2.27,2.0684,0.7206,0.3,140.2,65,0.985,3.3096591,215.1278415,0.021512784,2.03707E-06,1.16036E-06,1.00564E-06,7.21999E-07,7.21999E-07,1.46205E-06
T12 W2 LC,2014-03-08,2014,T12,W,2,L,C,T12 W2 LC,NA,1.8445,2.603,2.524,2.486,2.455,2.43,2.404,2.1824,0.7585,0.3379,124.4746967,67,0.9,3.024054,202.611618,0.020261162,2.16291E-06,1.04039E-06,8.48736E-07,6.84464E-07,7.11843E-07,1.22382E-06
T12 W2 LS,2014-03-08,2014,T12,W,2,L,S,T12 W2 LS,NA,1.7628,2.301,2.278,2.259,2.247,2.241,2.234,1.9944,0.5382,0.2316,132.3834197,62,0.915,3.0744549,190.6162038,0.01906162,6.69335E-07,5.52929E-07,3.49218E-07,1.74609E-07,2.03711E-07,7.47909E-07
T12 W2 WA,2014-03-08,2014,T12,W,2,W,A,T12 W2 WA,NA,1.8617,2.404,2.228,2.16,2.142,2.137,2.133,2.108,0.5423,0.2463,120.1786439,69,0.905,3.0408543,209.8189467,0.020981895,4.65311E-06,1.79779E-06,4.75886E-07,1.32191E-07,1.05752E-07,2.52484E-06
T12 W2 WC,2014-03-08,2014,T12,W,2,W,C,T12 W2 WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 W2 WS,2014-03-08,2014,T12,W,2,W,S,T12 W2 WS,NA,1.8293,2.334,2.302,2.286,2.273,2.264,2.255,2.0581,0.5047,0.2288,120.5856643,33,1.105,3.7128663,122.5245879,0.012252459,1.44878E-06,7.24389E-07,5.88566E-07,4.07469E-07,4.07469E-07,9.28124E-07
T12 W3 LA,2014-03-08,2014,T12,W,3,L,A,T12 W3 LA,NA,1.8283,2.708,2.615,2.595,2.581,2.57,2.559,2.2153,0.8797,0.387,127.3126615,69,1.015,3.4104609,235.3218021,0.02353218,2.19228E-06,4.71458E-07,3.30021E-07,2.59302E-07,2.59302E-07,5.77536E-07
T12 W3 LC,2014-03-08,2014,T12,W,3,L,C,T12 W3 LC,NA,1.985,2.364,2.274,2.253,2.235,2.221,2.205,2.0635,0.379,0.0785,382.8025478,47,0.855,2.8728513,135.0240111,0.013502401,3.69749E-06,8.62747E-07,7.39498E-07,5.75165E-07,6.57331E-07,9.81888E-07
T12 W3 LS,2014-03-08,2014,T12,W,3,L,S,T12 W3 LS,NA,1.7371,2.437,2.389,2.373,2.359,2.347,2.336,2.0695,0.6999,0.3324,110.5595668,52,0.96,3.2256576,167.7341952,0.01677342,1.58743E-06,5.29144E-07,4.63001E-07,3.96858E-07,3.63786E-07,6.34972E-07
T12 W3 WA,2014-03-08,2014,T12,W,3,W,A,T12 W3 WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 W3 WC,2014-03-08,2014,T12,W,3,W,C,T12 W3 WC,NA,1.7752,1.882,1.854,1.852,1.851,1.85,1.849,1.8459,0.1068,0.0707,51.06082037,42,0.63,2.1168378,88.9071876,0.008890719,1.74701E-06,1.24787E-07,6.23934E-08,6.23934E-08,6.23934E-08,1.43505E-07
T12 W3 WS,2014-03-08,2014,T12,W,3,W,S,T12 W3 WS,NA,1.9198,2.146,2.11,2.09,2.073,2.064,2.056,2.0231,0.2262,0.1033,118.9738625,27,0.97,3.2592582,87.9999714,0.008799997,2.26932E-06,1.26073E-06,1.07162E-06,5.67329E-07,5.04293E-07,1.82176E-06
T12 W4 LA,2014-03-08,2014,T12,W,4,L,A,T12 W4 LA,NA,1.7416,1.886,1.859,1.846,1.836,1.829,1.824,1.8059,0.1444,0.0643,124.5723173,31,0.68,2.2848408,70.8300648,0.007083006,2.11457E-06,1.01812E-06,7.83173E-07,5.48221E-07,3.91586E-07,1.42537E-06
T12 W4 LC,2014-03-08,2014,T12,W,4,L,C,T12 W4 LC,NA,1.8593,2.656,2.524,2.491,2.463,2.443,2.422,2.1915,0.7967,0.3322,139.8254064,50,0.945,3.1752567,158.762835,0.015876284,4.61212E-06,1.15303E-06,9.78328E-07,6.98806E-07,7.33746E-07,1.42906E-06
T12 W4 LS,2014-03-08,2014,T12,W,4,L,S,T12 W4 LS,NA,1.7562,2.291,2.266,2.252,2.241,2.234,2.224,1.9907,0.5348,0.2345,128.0597015,52,1.165,3.9144699,203.5524348,0.020355243,6.81301E-07,3.81528E-07,2.99772E-07,1.90764E-07,2.7252E-07,4.38758E-07
T12 W4 WA,2014-03-08,2014,T12,W,4,W,A,T12 W4 WA,NA,1.9328,2.362,2.248,2.189,2.164,2.154,2.148,2.1117,0.4292,0.1789,139.9105646,58,1,3.36006,194.88348,0.019488348,3.24493E-06,1.67939E-06,7.11607E-07,2.84643E-07,1.70786E-07,2.44508E-06
T12 W4 WC,2014-03-08,2014,T12,W,4,W,C,T12 W4 WC,NA,1.834,2.309,2.226,2.19,2.16,2.137,2.116,2.0308,0.475,0.1968,141.3617886,66,0.57,1.9152342,126.4054572,0.012640546,3.6424E-06,1.57984E-06,1.31653E-06,1.00934E-06,9.21571E-07,2.00551E-06
T12 W4 WS,2014-03-08,2014,T12,W,4,W,S,T12 W4 WS,NA,1.8943,3.222,3.114,3.058,3.005,2.966,2.923,2.491,1.3277,0.5967,122.5071225,114,1.015,3.4104609,388.7925426,0.038879254,1.54092E-06,7.98997E-07,7.56194E-07,5.56445E-07,6.13516E-07,9.45956E-07
T12 W5 LA,2014-03-08,2014,T12,W,5,L,A,T12 W5 LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 W5 LC,2014-03-08,2014,T12,W,5,L,C,T12 W5 LC,NA,1.7596,3.573,3.332,3.289,3.251,3.221,3.187,2.5086,1.8134,0.749,142.1094793,133,0.94,3.1584564,420.0747012,0.04200747,3.18248E-06,5.67828E-07,5.01802E-07,3.96159E-07,4.48981E-07,6.40458E-07
T12 W5 LS,2014-03-08,2014,T12,W,5,L,S,T12 W5 LS,NA,1.9448,2.172,2.152,2.134,2.123,2.116,2.109,2.05,0.2272,0.1052,115.9695817,31,1.025,3.4440615,106.7659065,0.010676591,1.03914E-06,9.35223E-07,5.71525E-07,3.63698E-07,3.63698E-07,1.23138E-06
T12 W5 WA,2014-03-08,2014,T12,W,5,W,A,T12 W5 WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12 W5 WC,2014-03-08,2014,T12,W,5,W,C,T12 W5 WC,NA,1.8373,2.385,2.241,2.185,2.144,2.122,2.105,2.0483,0.5477,0.211,159.5734597,60,0.88,2.9568528,177.411168,0.017741117,4.50253E-06,1.75098E-06,1.28197E-06,6.87887E-07,5.31549E-07,2.55143E-06
T12 W5 WS,2014-03-08,2014,T12,W,5,W,S,T12 W5 WS,NA,1.7178,1.992,1.959,1.949,1.94,1.932,1.923,1.8371,0.2742,0.1193,129.8407376,26,1.035,3.4776621,90.4192146,0.009041921,2.02455E-06,6.135E-07,5.5215E-07,4.908E-07,5.5215E-07,6.3804E-07
T13 L1 LA,2014-03-08,2014,T13,L,1,L,A,T13 L1 LA,NA,1.9633,2.6564,2.5228,2.449,2.4009,2.3794,2.3615,2.2698,0.6931,0.3065,126.1337684,73,1.199,4.02871194,294.0959716,0.029409597,2.51995E-06,1.39201E-06,9.07259E-07,4.05532E-07,3.37629E-07,2.04331E-06
T13 L1 LC,2014-03-08,2014,T13,L,1,L,C,T13 L1 LC,NA,1.9028,3.1564,2.9866,2.9525,2.9219,2.8986,2.8738,2.4322,1.2536,0.5294,136.7963733,100,1.21,4.0656726,406.56726,0.040656726,2.31676E-06,4.65262E-07,4.17507E-07,3.17906E-07,3.38372E-07,5.52856E-07
T13 L1 LS,2014-03-08,2014,T13,L,1,L,S,T13 L1 LS,NA,1.9459,2.6986,2.6416,2.6089,2.5778,2.5567,2.5344,2.2992,0.7527,0.3533,113.0484008,72,1.28,4.3008768,309.6631296,0.030966313,1.02108E-06,5.85779E-07,5.57117E-07,3.77979E-07,3.99476E-07,7.38403E-07
T13 L1 WA,2014-03-08,2014,T13,L,1,W,A,T13 L1 WA,NA,1.9563,2.554,2.44,2.3774,2.3314,2.3081,2.2894,2.2533,0.5977,0.297,101.2457912,60,1.2925,4.34287755,260.572653,0.026057265,2.4269E-06,1.33266E-06,9.79274E-07,4.96024E-07,3.98096E-07,1.95195E-06
T13 L1 WC,2014-03-08,2014,T13,L,1,W,C,T13 L1 WC,NA,1.8556,2.5477,2.4227,2.3772,2.3333,2.303,2.2755,2.1581,0.6921,0.3025,128.7933884,48,1.423,4.78136538,229.5055382,0.022950554,3.02129E-06,1.09975E-06,1.06108E-06,7.3236E-07,6.64683E-07,1.46134E-06
T13 L1 WS,2014-03-08,2014,T13,L,1,W,S,T13 L1 WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13 L2 LA,2014-03-08,2014,T13,L,2,L,A,T13 L2 LA,NA,1.9328,2.4343,2.2993,2.2651,2.2376,2.2189,2.2022,2.128,0.5015,0.1952,156.9159836,44,1.133,3.80694798,167.5057111,0.016750571,4.47074E-06,1.13259E-06,9.10706E-07,6.1928E-07,5.53047E-07,1.51442E-06
T13 L2 LC,2014-03-08,2014,T13,L,2,L,C,T13 L2 LC,NA,2.0715,2.9725,2.8408,2.7312,2.6482,2.6092,2.5789,2.3974,0.901,0.3259,176.4651734,80,1.3515,4.54112109,363.2896872,0.036328969,2.01098E-06,1.67353E-06,1.26736E-06,5.95507E-07,4.62663E-07,2.50632E-06
T13 L2 LS,2014-03-08,2014,T13,L,2,L,S,T13 L2 LS,NA,1.7979,3.0089,2.7697,2.6974,2.636,2.5917,2.5454,2.3146,1.211,0.5167,134.371976,70,1.465,4.9224879,344.574153,0.034457415,3.85082E-06,1.16394E-06,9.88464E-07,7.13175E-07,7.45373E-07,1.43859E-06
T13 L2 WA,2014-03-08,2014,T13,L,2,W,A,T13 L2 WA,NA,1.8477,2.3482,2.2381,2.1988,2.1662,2.148,2.1325,2.0603,0.5005,0.2126,135.4186265,42,1.2695,4.26559617,179.1550391,0.017915504,3.40905E-06,1.21685E-06,1.0094E-06,5.63531E-07,4.7993E-07,1.74725E-06
T13 L2 WC,2014-03-08,2014,T13,L,2,W,C,T13 L2 WC,NA,1.8288,2.7342,2.5751,2.4907,2.4223,2.382,2.3528,2.2364,0.9054,0.4076,122.1295388,75,1.19,3.9984714,299.885355,0.029988536,2.943E-06,1.56121E-06,1.26525E-06,7.45461E-07,5.40136E-07,2.28207E-06
T13 L2 WS,2014-03-08,2014,T13,L,2,W,S,T13 L2 WS,NA,1.9304,2.5658,2.5093,2.4684,2.4288,2.4027,2.3774,2.2417,0.6354,0.3113,104.1117893,56,1.2445,4.18159467,234.1693015,0.02341693,1.33842E-06,9.68877E-07,9.38081E-07,6.18281E-07,5.9933E-07,1.2811E-06
T13 L3 LA,2014-03-08,2014,T13,L,3,L,A,T13 L3 LA,NA,1.8862,2.4508,2.3802,2.3344,2.2944,2.269,2.2472,2.1551,0.5646,0.2689,109.9665303,42,1.281,4.30423686,180.7779481,0.018077795,2.16638E-06,1.40538E-06,1.22741E-06,7.79406E-07,6.68939E-07,1.95035E-06
T13 L3 LC,2014-03-08,2014,T13,L,3,L,C,T13 L3 LC,NA,1.9696,3.0999,2.8908,2.8196,2.7544,2.7082,2.665,2.4423,1.1303,0.4727,139.1157182,78,1.215,4.0824729,318.4328862,0.031843289,3.6426E-06,1.24033E-06,1.13581E-06,8.04821E-07,7.5256E-07,1.61138E-06
T13 L3 LS,2014-03-08,2014,T13,L,3,L,S,T13 L3 LS,NA,1.8008,1.9312,1.9116,1.9003,1.8894,1.8829,1.8785,1.8747,0.1304,0.0739,76.45466847,21,0.978,3.28613868,69.00891228,0.006900891,1.57553E-06,9.0834E-07,8.76186E-07,5.22497E-07,3.5369E-07,1.37135E-06
T13 L3 WA,2014-03-08,2014,T13,L,3,W,A,T13 L3 WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13 L3 WC,2014-03-08,2014,T13,L,3,W,C,T13 L3 WC,NA,1.7066,2.4019,2.2466,2.1689,2.1172,2.0938,2.0762,2.0115,0.6953,0.3049,128.041981,65,1.105,3.7128663,241.3363095,0.024133631,3.56964E-06,1.78597E-06,1.18835E-06,5.37859E-07,4.04543E-07,2.65735E-06
T13 L3 WS,2014-03-08,2014,T13,L,3,W,S,T13 L3 WS,NA,1.9068,2.3127,2.2554,2.2162,2.1823,2.1638,2.15,2.1098,0.4059,0.203,99.95073892,55,1.052,3.53478312,194.4130716,0.019441307,1.63495E-06,1.1185E-06,9.67274E-07,5.27863E-07,3.93758E-07,1.66662E-06
T13 W1 LA,2014-03-08,2014,T13,W,1,L,A,T13 W1 LA,NA,1.9903,2.315,2.263,2.221,2.202,2.193,2.187,2.1535,0.3247,0.1632,98.95833333,44,1.0715,3.60030429,158.4133888,0.015841339,1.8209E-06,1.47073E-06,6.6533E-07,3.15156E-07,2.10104E-07,2.11155E-06
T13 W1 LC,2014-03-08,2014,T13,W,1,L,C,T13 W1 LC,NA,1.8102,2.203,2.185,2.17,2.158,2.15,2.148,2,0.3928,0.1898,106.9546891,52,0.8825,2.96525295,154.1931534,0.015419315,6.47564E-07,5.39637E-07,4.31709E-07,2.87806E-07,7.19515E-08,8.74211E-07
T13 W1 LS,2014-03-08,2014,T13,W,1,L,S,T13 W1 LS,NA,1.9101,2.245,2.229,2.214,2.201,2.189,2.178,2.0776,0.3349,0.1675,99.94029851,23,0.995,3.3432597,76.8949731,0.007689497,1.15424E-06,1.0821E-06,9.37822E-07,8.65682E-07,7.93542E-07,1.24803E-06
T13 W1 WA,2014-03-08,2014,T13,W,1,W,A,T13 W1 WA,NA,1.904,2.331,2.228,2.171,2.143,2.131,2.124,2.0342,0.427,0.1302,227.9569892,39,1.22,4.0992732,159.8716548,0.015987165,3.57389E-06,1.97778E-06,9.71542E-07,4.16375E-07,2.42886E-07,2.9181E-06
T13 W1 WC,2014-03-08,2014,T13,W,1,W,C,T13 W1 WC,NA,1.8003,1.902,1.884,1.871,1.864,1.861,1.86,1.8506,0.1017,0.0503,102.1868787,14,0.958571429,3.220857514,45.0920052,0.004509201,2.21436E-06,1.59926E-06,8.6114E-07,3.6906E-07,1.2302E-07,2.4604E-06
T13 W1 WS,2014-03-08,2014,T13,W,1,W,S,T13 W1 WS,NA,1.8966,2.068,2.061,2.054,2.049,2.044,2.041,1.9824,0.1714,0.0858,99.76689977,39,1.125,3.7800675,147.4226325,0.014742263,2.63396E-07,2.63396E-07,1.8814E-07,1.8814E-07,1.12884E-07,3.46178E-07
T13 W1 WS,2014-03-08,2014,T13,W,1,W,S,T13 W1 WS,NA,1.8468,2.265,2.245,2.227,2.212,2.199,2.185,2.0527,0.4182,0.2059,103.108305,19,0.91,3.0576546,58.0954374,0.005809544,1.90969E-06,1.71872E-06,1.43227E-06,1.2413E-06,1.33678E-06,1.90014E-06
T13 W2 LA,2014-03-08,2014,T13,W,2,L,A,T13 W2 LA,NA,1.9423,2.419,2.298,2.26,2.238,2.225,2.216,2.1702,0.4767,0.2279,109.1706889,43,1.495,5.0232897,216.0014571,0.021600146,3.10745E-06,9.75893E-07,5.64991E-07,3.33858E-07,2.31133E-07,1.38936E-06
T13 W2 LC,2014-03-08,2014,T13,W,2,L,C,T13 W2 LC,NA,1.9532,2.498,2.474,2.453,2.435,2.42,2.412,2.2225,0.5448,0.2693,102.3022651,43,1.085,3.6456651,156.7635993,0.01567636,8.49261E-07,7.43103E-07,6.36946E-07,5.30788E-07,2.83087E-07,1.06865E-06
T13 W2 LS,2014-03-08,2014,T13,W,2,L,S,T13 W2 LS,NA,1.8734,1.992,1.982,1.97,1.96,1.955,1.951,1.9324,0.1186,0.059,101.0169492,51,1.4,4.704084,239.908284,0.023990828,2.31222E-07,2.77467E-07,2.31222E-07,1.15611E-07,9.2489E-08,4.13888E-07
T13 W2 WA,2014-03-08,2014,T13,W,2,W,A,T13 W2 WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13 W2 WC,2014-03-08,2014,T13,W,2,W,C,T13 W2 WC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13 W2 WS,2014-03-08,2014,T13,W,2,W,S,T13 W2 WS,NA,1.9205,2.16,2.15,2.141,2.132,2.124,2.118,2.0396,0.2395,0.1191,101.0915197,50,1.055,3.5448633,177.243165,0.017724317,3.12972E-07,2.81675E-07,2.81675E-07,2.50378E-07,1.87783E-07,3.59918E-07
T13 W3 LA,2014-03-08,2014,T13,W,3,L,A,T13 W3 LA,NA,1.922,2.027,2.02,2.013,2.008,2.004,2.001,1.974,0.105,0.052,101.9230769,14,1.028571429,3.456061714,48.384864,0.004838486,8.02535E-07,8.02535E-07,5.73239E-07,4.58591E-07,3.43943E-07,1.06622E-06
T13 W3 LC,2014-03-08,2014,T13,W,3,L,C,T13 W3 LC,NA,1.8696,2.602,2.52,2.446,2.395,2.365,2.347,2.2264,0.7324,0.3568,105.2690583,69,1.0775,3.62046465,249.8120609,0.024981206,1.82086E-06,1.64321E-06,1.13248E-06,6.66167E-07,3.997E-07,2.42929E-06
T13 W3 LS,2014-03-08,2014,T13,W,3,L,S,T13 W3 LS,NA,1.8701,2.329,2.289,2.247,2.214,2.19,2.173,2.0963,0.4589,0.2262,102.8735632,44,1.2865,4.32271719,190.1995564,0.019019956,1.16661E-06,1.22494E-06,9.62453E-07,6.99966E-07,4.95809E-07,1.70325E-06
T13 W3 WA,2014-03-08,2014,T13,W,3,W,A,T13 W3 WA,NA,1.92,2.428,2.315,2.25,2.216,2.201,2.19,2.1505,0.508,0.2305,120.3904555,56,1.135,3.8136681,213.5654136,0.021356541,2.9351E-06,1.68833E-06,8.83127E-07,3.89615E-07,2.85718E-07,2.45717E-06
T13 W3 WC,2014-03-08,2014,T13,W,3,W,C,T13 W3 WC,NA,1.8821,2.398,2.227,2.159,2.136,2.128,2.123,2.087,0.5159,0.2049,151.7813568,49,1.035,3.4776621,170.4054429,0.017040544,5.56657E-06,2.21361E-06,7.4872E-07,2.60424E-07,1.62765E-07,3.17067E-06
T13 W3 WS,2014-03-08,2014,T13,W,3,W,S,T13 W3 WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13 W4 LA,2014-03-08,2014,T13,W,4,L,A,T13 W4 LA,NA,1.9378,2.087,2.039,2.022,2.018,2.017,2.016,2.0098,0.1492,0.072,107.2222222,21,0.93,3.1248558,65.6219718,0.006562197,4.05758E-06,1.43706E-06,3.38132E-07,8.45329E-08,8.45329E-08,1.99498E-06
T13 W4 LC,2014-03-08,2014,T13,W,4,L,C,T13 W4 LC,NA,1.8428,2.252,2.175,2.143,2.12,2.105,2.094,2.0242,0.4092,0.1814,125.5788313,41,1.205,4.0488723,166.0037643,0.016600376,2.57305E-06,1.06932E-06,7.68573E-07,5.01243E-07,3.67578E-07,1.50707E-06
T13 W4 LS,2014-03-08,2014,T13,W,4,L,S,T13 W4 LS,NA,1.9014,2.027,2.007,1.989,1.982,1.976,1.974,1.9641,0.1256,0.0627,100.3189793,20,1.05,3.528063,70.56126,0.007056126,1.57231E-06,1.41508E-06,5.50309E-07,4.71694E-07,1.57231E-07,1.99684E-06
T13 W4 WA,2014-03-08,2014,T13,W,4,W,A,T13 W4 WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13 W4 WC,2014-03-08,2014,T13,W,4,W,C,T13 W4 WC,NA,1.9591,2.431,2.332,2.289,2.258,2.239,2.224,2.1626,0.4719,0.2035,131.8918919,48,1.075,3.6120645,173.379096,0.01733791,3.16748E-06,1.37577E-06,9.91837E-07,6.079E-07,4.79921E-07,1.93888E-06
T13 W4 WS,2014-03-08,2014,T13,W,4,W,S,T13 W4 WS,NA,1.9373,2.348,2.317,2.294,2.272,2.255,2.237,2.1358,0.4107,0.1985,106.9017632,49,1.14,3.8304684,187.6929516,0.018769295,9.16197E-07,6.79759E-07,6.50204E-07,5.02431E-07,5.31985E-07,7.97978E-07
T13 W5 LA,2014-03-08,2014,T13,W,5,L,A,T13 W5 LA,NA,1.8644,2.62,2.47,2.387,2.348,2.329,2.314,2.2445,0.7556,0.3801,98.78979216,83,1.145,3.8472687,319.3233021,0.03193233,2.60577E-06,1.44186E-06,6.775E-07,3.30064E-07,2.60577E-07,2.03945E-06
