CODE,SOT,year,Site,Zone,Tree #,Aspect,Height,CODE,Stem length,Tray mass (g),SOT+0 (m/g),SOT+1 (m/g),SOT+2 (m/g),SOT+3 (m/g),SOT+4 (m/g),SOT+5 (m/g),Dry weight,Fresh wgt,Dry wgt,H2O content,Total needles,MEAN (cm),SA/leaf (cm2),SA total (cm2),SA total (m2),1,2,3,4,5,gmin
AIR F4 WC,2013-09-26,2013,AIR,F,4,W,C,AIR F4 WC,14.9,1.8516,2.2262,2.18,2.1663,2.155,2.144,2.134,2.048,0.1964,0.3746,90.73319756,34,0.8,2.688048,91.393632,0.009139363,2.77987E-06,8.24334E-07,6.79925E-07,6.61874E-07,6.01703E-07,9.32038E-07
AIR F4 WS,2013-09-26,2013,AIR,F,4,W,S,AIR F4 WS,18.6,1.8111,2.0721,2.05,2.0446,2.04,2.036,2.031,1.9455,0.1344,0.261,94.19642857,52,0.695,2.3352417,121.4325684,0.012143257,1.00082E-06,2.44544E-07,2.08315E-07,1.81144E-07,2.2643E-07,2.43638E-07
AIR F5 LA,2013-09-26,2013,AIR,F,5,L,A,AIR F5 LA,10.5,1.9394,2.0615,2.05,2.0476,2.043,2.039,2.036,2.0034,0.064,0.1221,90.78125,17,0.858823529,2.885698588,49.056876,0.004905688,1.28913E-06,2.69036E-07,5.15651E-07,4.48393E-07,3.36294E-07,3.45262E-07
AIR F5 LC,2013-09-26,2013,AIR,F,5,L,C,AIR F5 LC,13.3,1.9185,2.2058,2.19,2.1847,2.18,2.174,2.165,2.0735,0.155,0.2873,85.35483871,37,0.92,3.0912552,114.3764424,0.011437644,7.59659E-07,2.54822E-07,2.25975E-07,2.88478E-07,4.32717E-07,9.18322E-08
AIR F5 LS,2013-09-26,2013,AIR,F,5,L,S,AIR F5 LS,12.7,1.8834,2.0601,2.03,2.0248,2.019,2.014,2.009,1.9738,0.0904,0.1767,95.46460177,26,0.825,2.7720495,72.073287,0.007207329,2.29663E-06,3.9676E-07,4.42539E-07,3.815E-07,3.815E-07,4.37961E-07
AIR F5 WA,2013-09-26,2013,AIR,F,5,W,A,AIR F5 WA,21.8,1.8864,2.466,2.43,2.4245,2.417,2.409,2.399,2.1712,0.2848,0.5796,103.511236,60,1.025,3.4440615,206.64369,0.020664369,9.58029E-07,1.46366E-07,1.99589E-07,2.12895E-07,2.66119E-07,7.5844E-08
AIR F5 WC,2013-09-26,2013,AIR,F,5,W,C,AIR F5 WC,18.8,1.8961,2.4437,2.41,2.4002,2.393,2.379,2.366,2.1617,0.2656,0.5476,106.1746988,42,1.115,3.7464669,157.3516098,0.015735161,1.17776E-06,3.42494E-07,2.51628E-07,4.89277E-07,4.54329E-07,1.83829E-07
AIR F6 LA,2013-09-26,2013,AIR,F,6,L,A,AIR F6 LA,22.5,1.8395,2.2041,2.18,2.1741,2.166,2.161,2.155,2.0144,0.1749,0.3646,108.4619783,36,1.01,3.3936606,122.1717816,0.012217178,1.08479E-06,2.6557E-07,3.64596E-07,2.2506E-07,2.70071E-07,3.25436E-07
BLK E1 LA,2013-09-26,2013,BLK,E,1,L,A,BLK E1 LA,14,2.5451,2.6189,2.618,2.6118,2.61,2.607,2.604,2.5883,0.0432,0.0738,70.83333333,10,0.87,2.9232522,29.232522,0.002923252,1.69307E-07,1.16634E-06,3.38614E-07,5.64356E-07,5.64356E-07,1.21148E-06
BLK E1 LC,2013-09-26,2013,BLK,E,1,L,C,BLK E1 LC,14.1,2.4991,2.7278,2.72,2.7112,2.704,2.7,2.696,2.683,0.1839,0.2287,24.3610658,43,0.645,2.1672387,93.1912641,0.009319126,4.60275E-07,5.19285E-07,4.2487E-07,2.36039E-07,2.36039E-07,7.17557E-07
