site,year,date,time,sample,weight,depth,density,swe,htc
Broad: Coastal Beach Ridge,2007,20070406,1009h,31,348.9055866,30,325.5829576,97.67488728,1.03884177
Broad: Coastal Beach Ridge,2007,20070406,1009h,32,248.9413408,22,316.7738616,69.69024956,1.34098317
Broad: Coastal Beach Ridge,2007,20070406,1009h,33,198.9592179,18,309.4329483,55.69793069,1.563896242
Mary Lake: Forest,2007,20070328,1441h,1,825.3940284,86,268.6815634,231.0661445,0.246788326
Mary Lake: Forest,2007,20070328,1441h,2,825.3940284,86,268.6815634,231.0661445,0.246788326
Mary Lake: Forest,2007,20070328,1441h,3,778.9427313,82,265.9295949,218.0622679,0.253551872
Mary Lake: Forest,2007,20070328,1441h,4,616.3631914,68,253.7480876,172.5486996,0.278383809
Mary Lake: Forest,2007,20070328,1441h,5,825.3940284,86,268.6815634,231.0661445,0.246788326
Mary Lake: Forest,2007,20070328,1441h,6,871.8453255,90,271.1889124,244.0700211,0.240241859
Mary Lake: Forest,2007,20070328,1441h,7,709.2657856,76,261.2584906,198.5564529,0.264042943
Mary Lake: Forest,2007,20070328,1441h,8,848.6196769,88,269.9637305,237.5680828,0.243486844
Mary Lake: Forest,2007,20070328,1441h,9,848.6196769,88,269.9637305,237.5680828,0.243486844
Mary Lake: Forest,2007,20070328,1441h,10,732.4914342,78,262.8953733,205.0583912,0.26050653
Mary Lake: Forest,2007,20070328,1441h,11,488.6221243,57,239.9790154,136.7880388,0.297042786
Mary Lake: Forest,2007,20070328,1441h,12,558.29907,63,248.0854822,156.2938538,0.287216564
Mary Lake: Forest,2007,20070328,1441h,13,535.0734214,61,245.5605171,149.7919155,0.290626073
Mary Lake: Forest,2007,20070328,1441h,14,500.2349486,58,241.4465655,140.039008,0.295502664
Mary Lake: Forest,2007,20070328,1441h,15,569.9118943,64,249.2887858,159.5448229,0.285478129
Mary Lake: Forest,2007,20070328,1441h,16,720.8786099,77,262.0875611,201.807422,0.262270488
Mary Lake: Forest,2007,20070328,1441h,17,709.2657856,76,261.2584906,198.5564529,0.264042943
Mary Lake: Forest,2007,20070328,1441h,18,407.3323544,50,228.0625093,114.0312547,0.305833548
Mary Lake: Forest,2007,20070328,1441h,19,360.8810573,46,219.6247348,101.027378,0.30828472
Mary Lake: Forest,2007,20070328,1441h,20,302.8169359,41,206.7622737,84.77253222,0.306553354
Mary Lake: Forest,2007,20070328,1441h,21,407.3323544,50,228.0625093,114.0312547,0.305833548
Mary Lake: Forest,2007,20070328,1441h,22,442.1708272,53,233.5550229,123.7841622,0.302586735
Mary Lake: Forest,2007,20070328,1441h,23,442.1708272,53,233.5550229,123.7841622,0.302586735
Mary Lake: Forest,2007,20070328,1441h,24,569.9118943,64,249.2887858,159.5448229,0.285478129
Mary Lake: Forest,2007,20070328,1441h,25,697.6529613,75,260.4073116,195.3054837,0.265822914
Mary Lake: Forest,2007,20070328,1441h,26,871.8453255,90,271.1889124,244.0700211,0.240241859
Mary Lake: Forest,2007,20070328,1441h,27,941.5222712,96,274.5581626,263.5758361,0.230857941
Mary Lake: Forest,2007,20070328,1441h,28,1092.488987,109,280.5857204,305.8384352,0.212349852
Mary Lake: Forest,2007,20070328,1441h,29,1243.455702,122,285.3287167,348.1010343,0.196190722
Mary Lake: Forest,2007,20070328,1441h,30,941.5222712,96,274.5581626,263.5758361,0.230857941
Mary Lake: Forest,2007,20070328,1441h,31,987.9735683,100,276.5797128,276.5797128,0.224899232
Mary Lake: Forest,2007,20070328,1441h,32,1057.650514,106,279.3259696,296.0855277,0.216403408
Mary Lake: Forest,2007,20070328,1441h,33,1080.876163,108,280.1735797,302.5874661,0.213686917
Owl: Coastal Beach Ridge,2007,20070225,1445,1,235,32,205.5856888,65.78742042,0.388314056
Owl: Coastal Beach Ridge,2007,20070225,1445,2,220,23,267.7748842,61.58822337,0.916556359
Owl: Coastal Beach Ridge,2007,20070225,1445,3,250,24,291.6109061,69.98661747,1.041702277
Owl: Coastal Beach Ridge,2007,20070225,1445,4,300,26,323.0151575,83.98394096,1.179830956
Owl: Coastal Beach Ridge,2007,20070225,1445,5,295,31,266.4006729,82.58420861,0.67306386
Owl: Coastal Beach Ridge,2007,20070225,1445,6,190,24,221.6242886,53.18982927,0.601687235
Owl: Coastal Beach Ridge,2007,20070225,1445,7,155,15,289.2780189,43.39170283,1.640162735
Owl: Coastal Beach Ridge,2007,20070225,1445,8,265,24,309.1075605,74.18581451,1.170456678
Owl: Coastal Beach Ridge,2007,20070225,1445,9,235,23,286.0322627,65.78742042,1.045802168
Owl: Coastal Beach Ridge,2007,20070225,1445,10,305,30,284.6122444,85.38367331,0.79384047
Owl: Coastal Beach Ridge,2007,20070225,1445,11,385,34,316.9982085,107.7793909,0.868924473
Owl: Coastal Beach Ridge,2007,20070225,1445,12,250,24,291.6109061,69.98661747,1.041702277
Owl: Coastal Beach Ridge,2007,20070225,1445,13,255,26,274.5628839,71.38634982,0.852427865
Owl: Coastal Beach Ridge,2007,20070225,1445,14,175,22,222.6846919,48.99063223,0.662682308
Owl: Coastal Beach Ridge,2007,20070225,1445,15,245,18,381.0382507,68.58688512,2.371439092
Owl: Coastal Beach Ridge,2007,20070225,1445,16,395,38,290.9969884,110.5788556,0.655149966
Owl: Coastal Beach Ridge,2007,20070225,1445,17,250,31,225.7632822,69.98661747,0.483383984
Owl: Coastal Beach Ridge,2007,20070225,1445,18,240,31,216.7327509,67.18715277,0.44548668
Owl: Coastal Beach Ridge,2007,20070225,1445,19,270,32,236.204834,75.58554686,0.512595648
Owl: Coastal Beach Ridge,2007,20070225,1445,20,220,27,228.104531,61.58822337,0.56656715
Owl: Coastal Beach Ridge,2007,20070225,1445,21,265,27,274.762276,74.18581451,0.822049135
Owl: Coastal Beach Ridge,2007,20070225,1445,22,330,34,271.7127502,92.38233506,0.63839349
Owl: Coastal Beach Ridge,2007,20070225,1445,23,220,29,212.373184,61.58822337,0.457244709
Owl: Coastal Beach Ridge,2007,20070225,1445,24,160,22,203.5974326,44.79143518,0.553948313
Owl: Coastal Beach Ridge,2007,20070225,1445,25,215,23,261.6890914,60.18849102,0.875368134
Owl: Coastal Beach Ridge,2007,20070225,1445,26,145,20,202.9611907,40.59223813,0.6055407
Owl: Coastal Beach Ridge,2007,20070225,1445,27,175,16,306.1914514,48.99063223,1.72271514
Owl: Coastal Beach Ridge,2007,20070225,1445,28,215,19,316.7815317,60.18849102,1.552792548
Owl: Coastal Beach Ridge,2007,20070225,1445,29,250,32,218.7081796,69.98661747,0.439468148
Owl: Coastal Beach Ridge,2007,20070225,1445,30,365,33,309.6377621,102.1804615,0.854163935
Owl: Coastal Beach Ridge,2007,20070225,1445,31,250,28,249.9522052,69.98661747,0.655999101
Owl: Coastal Beach Ridge,2007,20070225,1445,32,145,20,202.9611907,40.59223813,0.6055407
Owl: Coastal Beach Ridge,2007,20070225,1445,33,230,26,247.6449541,64.38768807,0.693478417
Owl: Coastal Fen,2007,20070225,1600,1,380,49,217.101344,106.3796585,0.282797961
Owl: Coastal Fen,2007,20070225,1600,2,355,44,225.8659018,99.3809968,0.340875665
