location,site,type,year,sample.no,depth,density,swe,htc
Broad: Riparian Forest,BRF,forest,2009,26,54,181.4468,97.9813,0.1792
Broad: Riparian Forest,BRF,forest,2009,27,52,188.4255,97.9813,0.2007
Broad: Riparian Forest,BRF,forest,2009,28,59,213.5185,125.9759,0.2272
Broad: Riparian Forest,BRF,forest,2009,29,59,213.5185,125.9759,0.2272
Broad: Riparian Forest,BRF,forest,2009,30,58,193.0665,111.9786,0.1889
Broad: Riparian Forest,BRF,forest,2009,31,59,213.5185,125.9759,0.2272
Broad: Riparian Forest,BRF,forest,2009,32,59,237.2428,139.9732,0.2805
Broad: Riparian Forest,BRF,forest,2009,33,69,284.0037,195.9625,0.3437
Broad: Sedge Fen,BCF,fen,2009,1,34,131.7395,44.7914,0.1501
Broad: Sedge Fen,BCF,fen,2009,2,30,121.3101,36.393,0.1442
Broad: Sedge Fen,BCF,fen,2009,3,31,121.9122,37.7928,0.141
Broad: Sedge Fen,BCF,fen,2009,4,35,351.9327,123.1764,1.0404
Broad: Sedge Fen,BCF,fen,2009,5,57,353.6166,201.5615,0.645
Broad: Sedge Fen,BCF,fen,2009,6,60,396.5908,237.9545,0.7707
Broad: Sedge Fen,BCF,fen,2009,7,51,356.7945,181.9652,0.7339
Broad: Sedge Fen,BCF,fen,2009,8,38,353.6166,134.3743,0.9675
Broad: Sedge Fen,BCF,fen,2009,9,42,333.2696,139.9732,0.7775
Broad: Sedge Fen,BCF,fen,2009,10,40,384.9264,153.9706,1.089
Broad: Sedge Fen,BCF,fen,2009,11,61,367.1429,223.9572,0.6497
Broad: Sedge Fen,BCF,fen,2009,12,54,336.9726,181.9652,0.6182
Broad: Sedge Fen,BCF,fen,2009,13,45,342.1568,153.9706,0.7649
Broad: Sedge Fen,BCF,fen,2009,14,40,342.9344,137.1738,0.8644
Broad: Sedge Fen,BCF,fen,2009,15,50,363.9304,181.9652,0.7788
Broad: Sedge Fen,BCF,fen,2009,16,29,337.8664,97.9813,1.1573
Broad: Sedge Fen,BCF,fen,2009,17,41,320.9142,131.5748,0.7385
Broad: Shrub,BSH,shrub,2009,NA,NA,NA,NA,NA
Broad: Spruce Forest,BSF,forest,2009,NA,NA,NA,NA,NA
